amfi_code,scheme_name,cagr_3yr,sharpe_ratio,alpha,expense_ratio_pct,max_drawdown,return_score,sharpe_score,alpha_score,expense_score,dd_score,overall_score
119092,Axis Bluechip Fund - Regular - Growth,0.005257668501786883,-0.13100916883965183,0.0689952982167755,1.64,-0.1440161790933726,90.0,75.0,75.0,98.75,65.0,82.0625
100016,HDFC Top 100 Fund - Regular Plan - Growth,0.012923525892154508,-0.32101926049954294,0.03747580763443281,1.55,-0.24734440880673303,87.5,85.0,97.5,80.0,17.5,80.75
102886,UTI Mid Cap Fund - Regular - Growth,-0.007672319440258146,-0.29488891285108904,0.02896939786637944,1.51,-0.2800112356639287,92.5,82.5,100.0,61.25000000000001,15.0,79.0625
101208,ABSL Liquid Fund - Regular - Growth,0.06314299292105274,-4.650400707150913,0.060861457957871144,0.79,-0.0016224980244717857,77.5,100.0,82.5,27.500000000000004,95.0,78.375
100025,HDFC Short Term Debt Fund - Regular - Growth,0.03915479354684703,-1.0399413574427754,0.042817920315060876,0.56,-0.04308263824636349,85.0,92.5,95.0,5.0,92.5,77.625
119095,Axis Small Cap Fund - Regular - Growth,-0.11703299329834216,-0.1516581586164415,0.04801595363775955,1.38,-0.5167775370852656,100.0,80.0,92.5,42.5,5.0,75.375
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,0.05838988442093762,-0.7430986305648408,0.05620895216638369,0.77,-0.04328728923970093,80.0,87.5,85.0,22.5,90.0,75.25
118636,Nippon India Gilt Securities Fund - Regular - Growth,0.04061259859840338,-0.8505789759662293,0.05074772999976104,0.55,-0.08316361763638702,82.5,90.0,87.5,2.5,87.5,73.875
120844,Kotak Liquid Fund - Regular - Growth,0.06694394239074852,-4.000348969233408,0.06455677495375998,0.6,-0.0011629327956168556,75.0,97.5,80.0,7.5,97.5,73.75
120507,ICICI Pru Liquid Fund - Regular - Growth,0.07392538786263403,-3.650183878568478,0.06746210411099539,0.74,-0.0009773140045925555,72.5,95.0,77.5,17.5,100.0,73.625
101207,ABSL Small Cap Fund - Regular - Growth,-0.04151453816140693,0.05261813647585507,0.10897091901704538,1.53,-0.3544691649336603,97.5,67.5,67.5,71.25,7.5,71.0625
119599,SBI Small Cap Fund - Direct Plan - Growth,-0.01337083602283895,-0.13617811182970374,0.048824215945539845,0.72,-0.5257422117012851,95.0,77.5,90.0,13.750000000000002,2.5,68.1875
120842,Kotak Emerging Equity Fund - Regular - Growth,0.0775416750547262,-0.05816681141492252,0.0780443887615508,1.56,-0.24003511326274884,70.0,72.5,72.5,82.5,20.0,68.0
